NAME,STATE,POPULATION,COUNTY,NAICS_DESC,LEVEL_,TOT_ENROLL,LATITUDE,LONGITUDE
LA JAMES INTERNATIONAL COLLEGE-JOHNSTON,IA,100,POLK,COSMETOLOGY AND BARBER SCHOOLS,2,89,41.661011746, -93.73838622
KC'S SCHOOL OF HAIR DESIGN,MS,100,PONTOTOC,COSMETOLOGY AND BARBER SCHOOLS,2,94,34.25556139, -89.017408015
BRYAN COLLEGE-GOLD RIVER,CA,100,SACRAMENTO,JUNIOR COLLEGES,2,85,38.623626977, -121.262813099
SEBRING CAREER SCHOOLS-HOUSTON,TX,100,HARRIS,COSMETOLOGY AND BARBER SCHOOLS,3,95,29.704744, -95.645773
TRICOCI UNIVERSITY OF BEAUTY CULTURE-LAFAYETTE,IN,100,TIPPECANOE,COSMETOLOGY AND BARBER SCHOOLS,3,88,40.419819502, -86.887652777
EVERGREEN BEAUTY AND BARBER COLLEGE-BELLEVUE,WA,100,KING,COSMETOLOGY AND BARBER SCHOOLS,3,90,47.627500026, -122.152450976
REGENCY BEAUTY INSTITUTE-COLUMBUS,OH,101,FRANKLIN,COSMETOLOGY AND BARBER SCHOOLS,3,94,40.06499291, -83.023971326
VICTORIA'S ACADEMY OF COSMETOLOGY,WA,101,BENTON,COSMETOLOGY AND BARBER SCHOOLS,3,88,46.208885646, -119.122295922
MONTANA ACADEMY OF SALONS,MT,101,CASCADE,COSMETOLOGY AND BARBER SCHOOLS,2,87,47.498486664, -111.303718902
MASSACHUSETTS SCHOOL OF BARBERING,MA,101,NORFOLK,COSMETOLOGY AND BARBER SCHOOLS,3,92,42.247205981, -71.001905835
WILLIAMSON CHRISTIAN COLLEGE,TN,101,WILLIAMSON,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,72,35.956366466, -86.825011728
REFORMED PRESBYTERIAN THEOLOGICAL SEMINARY,PA,101,ALLEGHENY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,76,40.447416902, -79.89765665
CALIFORNIA BEAUTY SCHOOL,CA,101,STANISLAUS,COSMETOLOGY AND BARBER SCHOOLS,3,93,37.645435778, -120.997383185
CAIN'S BARBER COLLEGE INC,IL,101,COOK,COSMETOLOGY AND BARBER SCHOOLS,3,90,41.801964751, -87.616843691
JUNG TAO SCHOOL OF CLASSICAL CHINESE MEDICINE,NC,101,WATAUGA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,70,36.263233085, -81.785302563
REGENCY BEAUTY INSTITUTE-EL PASO,TX,101,EL PASO,COSMETOLOGY AND BARBER SCHOOLS,3,95,31.761069506, -106.352850197
THE CREATIVE CENTER,NE,101,DOUGLAS,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,78,41.290957551, -96.082680809
OMEGA STUDIOS' SCHOOL OF APPLIED RECORDING ARTS & SCIENCES,MD,101,MONTGOMERY,FINE ARTS SCHOOLS,3,85,39.064396911, -77.113380879
HOUSTON TRAINING SCHOOLS-GESSNER,TX,101,HARRIS,OTHER TECHNICAL AND TRADE SCHOOLS,3,90,29.723354663, -95.540241646
ROSS MEDICAL EDUCATION CENTER-TAYLOR,MI,101,WAYNE,OTHER TECHNICAL AND TRADE SCHOOLS,3,89,42.362021686, -83.276415935
VALLEY COLLEGE-PRINCETON,WV,101,MERCER,JUNIOR COLLEGES,3,89,37.369159307, -81.091857738
COLLEGE OF INTERNATIONAL ESTHETICS INC,CO,102,JEFFERSON,COSMETOLOGY AND BARBER SCHOOLS,3,86,39.790583609, -105.075942601
WINEBRENNER THEOLOGICAL SEMINARY,OH,102,HANCOCK,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,64,41.052454376, -83.650572243
J MICHAEL HARROLD BEAUTY ACADEMY,IN,102,VIGO,COSMETOLOGY AND BARBER SCHOOLS,3,92,39.470358643, -87.383391072
MASTERS OF COSMETOLOGY COLLEGE,IN,102,ALLEN,COSMETOLOGY AND BARBER SCHOOLS,2,93,41.052278405, -85.16079995
EMPIRE BEAUTY SCHOOL-OCEAN,NJ,102,MONMOUTH,COSMETOLOGY AND BARBER SCHOOLS,3,89,40.250597138, -74.04104223
EVEREST INSTITUTE-CROSS LANES,WV,102,KANAWHA,JUNIOR COLLEGES,2,63,38.422838656, -81.789863641
ESTELLE SKIN CARE AND SPA INSTITUTE,IL,102,COOK,COSMETOLOGY AND BARBER SCHOOLS,3,86,42.039156708, -87.746631568
HOLLYWOOD INSTITUTE OF BEAUTY CAREERS-CASSELBERRY,FL,102,SEMINOLE,COSMETOLOGY AND BARBER SCHOOLS,3,75,28.633001111, -81.321494078
CIRCLE IN THE SQUARE THEATER SCHOOL,NY,102,NEW YORK,FINE ARTS SCHOOLS,2,69,40.762059431, -73.984606513
TINT SCHOOL OF MAKEUP AND COSMETOLOGY-IRVING,TX,102,DALLAS,COSMETOLOGY AND BARBER SCHOOLS,3,95,32.829662, -96.98076
NORTHWEST COLLEGE-HILLSBORO,OR,103,WASHINGTON,COSMETOLOGY AND BARBER SCHOOLS,2,93,45.521184745, -122.984086845
THE LANDING SCHOOL,ME,103,YORK,JUNIOR COLLEGES,2,78,43.380523091, -70.503497669
TENNESSEE ACADEMY OF COSMETOLOGY-SHELBY DRIVE,TN,103,SHELBY,COSMETOLOGY AND BARBER SCHOOLS,3,96,35.020992439, -89.828675675
NOVA ACADEMY OF COSMETOLOGY,MN,103,OLMSTED,COSMETOLOGY AND BARBER SCHOOLS,3,89,44.040162049, -92.46384832
CENTURA COLLEGE-COLUMBIA,SC,103,RICHLAND,JUNIOR COLLEGES,2,70,34.074692859, -80.9448971
MODEL COLLEGE OF HAIR DESIGN,MN,103,STEARNS,COSMETOLOGY AND BARBER SCHOOLS,3,92,45.55769097, -94.159366903
ROCKLAND COUNTY BOCES-PRACTICAL NURSING PROGRAM,NY,103,ROCKLAND,OTHER TECHNICAL AND TRADE SCHOOLS,3,96,41.120003867, -73.98036603
DUVALL'S SCHOOL OF COSMETOLOGY,TX,103,TARRANT,COSMETOLOGY AND BARBER SCHOOLS,3,89,32.851543965, -97.169279864
CANNELLA SCHOOL OF HAIR DESIGN-CHICAGO,IL,103,COOK,COSMETOLOGY AND BARBER SCHOOLS,3,95,41.731381127, -87.551621607
ACADEMY FOR JEWISH RELIGION-CALIFORNIA,CA,103,LOS ANGELES,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,65,34.06113724, -118.293132278
REGENCY BEAUTY INSTITUTE-ROCKFORD,IL,103,WINNEBAGO,COSMETOLOGY AND BARBER SCHOOLS,3,96,42.264469, -88.982031
JAMESON HEALTH SYSTEM,PA,103,LAWRENCE,OTHER TECHNICAL AND TRADE SCHOOLS,2,84,41.013434117, -80.351752557
WAYNESVILLE CAREER CENTER,MO,103,PULASKI,OTHER TECHNICAL AND TRADE SCHOOLS,3,54,37.811339307, -92.213909525
KAPLAN CAREER INSTITUTE-CLEVELAND,OH,103,CUYAHOGA,JUNIOR COLLEGES,3,91,41.419719144, -81.74717594
ELITE COSMETOLOGY SCHOOL,CA,103,SAN BERNARDINO,COSMETOLOGY AND BARBER SCHOOLS,3,91,34.121175873, -116.435520919
GREATER LOWELL TECHNICAL SCHOOL,MA,103,MIDDLESEX,OTHER TECHNICAL AND TRADE SCHOOLS,3,80,42.653917007, -71.386180387
LOWELL ACADEMY HAIRSTYLING INSTITUTE,MA,103,MIDDLESEX,COSMETOLOGY AND BARBER SCHOOLS,3,95,42.643680103, -71.308096772
ACADEMY OF HAIR DESIGN-LUFKIN,TX,104,ANGELINA,COSMETOLOGY AND BARBER SCHOOLS,3,96,31.331837147, -94.718537108
MIAMI AD SCHOOL-NEW YORK,NY,104,KINGS,OTHER TECHNICAL AND TRADE SCHOOLS,2,99,40.704431, -73.986638
HAIR FASHIONS BY KAYE BEAUTY COLLEGE-INDIANAPOLIS,IN,104,MARION,COSMETOLOGY AND BARBER SCHOOLS,3,92,39.906191933, -86.059087302
CET-SOLEDAD,CA,104,MONTEREY,OTHER TECHNICAL AND TRADE SCHOOLS,3,94,36.414544292, -121.316599775
CENTRAL COLLEGE OF COSMETOLOGY,MO,104,PULASKI,COSMETOLOGY AND BARBER SCHOOLS,3,93,37.814903, -92.14396
TELSHE YESHIVA-CHICAGO,IL,104,COOK,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,79,41.97553623, -87.717549587
