,Carnegie Mellon University,Massachusetts Institute of Technology,Stanford University,University of California - Berkeley,University of Illinois at Urbana-Champaign,Cornell University,Georgia Institute of Technology,University of Washington,University of Michigan,University of Maryland - College Park,University of California - Los Angeles,University of California - San Diego,University of Southern California,University of Texas - Austin,Columbia University,Princeton University,University of California - Irvine,Northwestern University,University of Pennsylvania,Yale University,Duke University,New York University,Purdue University,North Carolina State University,University of Utah,Texas A&M University,University of Florida,Rutgers - State University of New Jersey - New Brunswick,University of Wisconsin - Madison,Ohio State University,Virginia Polytechnic Institute and State University,University of Massachusetts - Amherst,State University of New York - Stony Brook,University of Colorado Boulder,University of Minnesota - Twin Cities,Pennsylvania State University,University of California - Santa Barbara,University of North Carolina - Chapel Hill,University of California - Davis,Brown University,Rensselaer Polytechnic Institute,University of Chicago,Johns Hopkins University,Harvard University,University of Virginia,Arizona State University,Washington University - St. Louis,University of Pittsburgh,University of Rochester,Rice University,Boston University,University of Arizona,University of Notre Dame - USA,California Institute of Technology,Dartmouth College
Carnegie Mellon University,24,2,6,4,3,0,10,4,5,2,2,1,8,1,3,2,0,3,2,1,2,1,2,0,1,2,2,0,7,0,1,0,3,0,2,0,0,0,0,1,0,1,1,2,1,1,1,1,0,1,1,1,0,2,1
Massachusetts Institute of Technology,19,31,6,9,3,7,12,7,7,6,5,6,4,6,5,4,5,8,4,5,6,5,4,1,2,3,1,2,1,3,0,4,3,3,1,3,2,0,2,10,1,6,1,5,2,1,3,1,2,3,5,1,0,2,3
Stanford University,13,15,8,9,6,4,2,6,3,2,3,8,3,3,5,7,3,1,3,2,5,4,2,2,1,0,0,3,2,1,1,0,2,1,0,0,1,2,0,0,0,0,3,2,0,0,0,0,1,4,0,0,0,0,2
University of California - Berkeley,10,12,7,13,4,5,5,8,7,3,5,11,5,2,3,3,6,3,3,1,4,2,0,0,1,5,2,1,7,0,0,3,1,3,4,1,1,7,4,2,1,1,0,4,2,1,0,2,1,0,2,1,0,3,0
University of Illinois at Urbana-Champaign,0,0,0,1,5,0,3,2,6,1,5,1,0,1,0,1,3,3,0,0,2,0,3,5,2,6,4,1,3,4,1,0,2,1,2,1,2,0,0,1,1,1,0,0,2,0,3,1,1,0,0,1,3,0,0
Cornell University,3,1,3,0,1,3,2,1,1,3,0,2,2,3,2,1,0,0,3,2,1,1,1,1,0,0,2,0,3,0,1,3,3,1,1,1,2,2,0,0,1,3,1,1,0,0,0,0,3,1,0,0,0,1,1
Georgia Institute of Technology,3,0,0,1,1,0,9,2,0,1,0,0,1,0,0,0,2,5,0,0,0,0,1,3,1,4,1,3,0,1,4,0,2,0,1,2,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0
University of Washington,3,0,1,3,2,2,4,2,1,2,1,7,1,1,2,2,2,2,2,0,2,2,0,0,0,1,0,1,3,0,0,1,0,2,0,1,0,1,1,1,1,0,0,1,1,1,2,0,0,0,0,1,0,0,0
University of Michigan,2,0,1,0,4,1,3,0,2,0,0,0,1,1,0,1,1,2,0,0,3,0,0,0,0,2,1,0,0,1,2,2,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
University of Maryland - College Park,2,0,0,0,0,0,1,0,1,4,0,0,0,1,0,0,1,0,1,0,1,1,3,0,0,0,0,2,2,1,2,1,0,0,1,0,2,0,0,1,1,0,2,0,0,3,1,2,1,0,1,0,0,0,0
University of California - Los Angeles,1,0,2,1,0,0,0,0,2,0,6,1,3,2,1,0,1,2,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
University of California - San Diego,1,0,0,1,1,1,1,1,1,0,1,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
University of Southern California,0,0,0,0,0,0,0,0,2,1,0,1,5,0,0,0,1,0,0,0,0,0,0,0,1,3,3,0,0,2,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
University of Texas - Austin,1,0,0,0,0,0,2,1,2,1,1,1,0,3,2,1,2,1,0,1,0,0,0,2,1,2,1,0,1,3,0,4,3,0,2,0,3,3,1,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0
Columbia University,2,1,1,0,0,0,3,0,1,1,1,0,0,2,1,0,3,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,2,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Princeton University,1,2,1,1,1,1,0,1,5,1,1,2,3,2,2,2,1,6,3,1,1,1,1,1,0,0,1,2,0,0,0,1,0,2,0,1,1,0,1,1,0,2,1,2,4,0,0,0,0,1,1,0,0,1,1
University of California - Irvine,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Northwestern University,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
University of Pennsylvania,0,0,0,0,2,1,0,1,1,2,0,2,2,0,5,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,1,4,1,0,0,0,1,1,0,5,1,0,1,1,0,0,1,1,0,1,0,0
Yale University,3,0,1,0,2,0,1,0,0,1,1,0,0,0,0,2,1,3,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duke University,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
New York University,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,1,0,0,0,0,2,1,2,0,0,2,0,1,0,0,0,0,0,1,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purdue University,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,1,0,2,2,1,0,2,0,1,1,4,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
North Carolina State University,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Utah,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Texas A&M University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Florida,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
